Facility,total_ops,total_num_delays,avg_min,total_min
07FA,0,0,0.0,0
0B8,0,0,0.0,0
17N,0,0,0.0,0
1V6,0,0,0.0,0
2K4,0,0,0.0,0
36U,0,0,0.0,0
38XS,0,0,0.0,0
55S,0,0,0.0,0
67R,0,0,0.0,0
6A4,0,0,0.0,0
6B6,0,0,0.0,0
A11,265840,17,22.5,382
A80,1191423,900,27.9,25077
A90,658524,7,26.1,183
AAT,0,0,0.0,0
ABE,79590,0,0.0,0
ABI,50997,1,20.0,20
ABQ,134749,28,24.0,671
ABY,22394,0,0.0,0
ACK,97569,42,36.2,1521
ACT,40999,0,0.0,0
ACV,0,0,0.0,0
ACY,63506,0,0.0,0
ADM,18839,1,23.0,23
ADQ,31491,30,22.9,687
ADS,99506,24,23.3,559
ADW,53044,10,30.4,304
AEG,63787,0,0.0,0
AEX,30790,0,0.0,0
AFW,112143,9,23.3,210
AGC,61512,0,0.0,0
AGS,28775,62,56.4,3497
AHN,34597,0,0.0,0
AIA,0,0,0.0,0
AJN,0,0,0.0,0
AKN,25566,0,0.0,0
AKT,0,0,0.0,0
AKW,0,0,0.0,0
ALB,72354,0,0.0,0
ALD,0,0,0.0,0
ALM,0,0,0.0,0
ALN,30087,0,0.0,0
ALO,19136,0,0.0,0
ALS,0,0,0.0,0
ALW,28387,0,0.0,0
AMA,60714,0,0.0,0
ANC,276407,175,22.1,3865
ANE,74943,0,0.0,0
ANI,0,0,0.0,0
ANK,0,0,0.0,0
ANV,0,0,0.0,0
APA,326023,0,0.0,0
APC,49842,15,27.6,414
APF,94982,11,27.3,300
APN,0,0,0.0,0
AQX,0,0,0.0,0
ARA,63582,0,0.0,0
ARB,61966,0,0.0,0
ARR,45162,0,0.0,0
ART,0,0,0.0,0
ASE,42426,676,56.9,38462
ASG,32642,0,0.0,0
ASH,56448,0,0.0,0
ASN,0,0,0.0,0
ATL,879498,6137,47.6,292244
ATW,32234,1,27.0,27
AUS,199632,8,32.3,258
AVL,66350,0,0.0,0
AVP,60313,1,84.0,84
AVX,0,0,0.0,0
AZO,40347,0,0.0,0
BAF,40737,0,0.0,0
BAK,44212,0,0.0,0
BAZ,53407,0,0.0,0
BBG,5762,0,0.0,0
BCT,70067,0,0.0,0
BDL,94674,1,23.0,23
BDR,46024,2,74.0,148
BEC,0,0,0.0,0
BED,128598,4,108.0,432
BEH,0,0,0.0,0
BET,78298,25,28.0,699
BFF,0,0,0.0,0
BFI,184182,64,26.7,1706
BFL,59667,1,19.0,19
BFM,62587,0,0.0,0
BGD,0,0,0.0,0
BGM,12363,0,0.0,0
BGR,43102,0,0.0,0
BHB,0,0,0.0,0
BHM,96053,0,0.0,0
BIF,0,0,0.0,0
BIH,0,0,0.0,0
BIL,82774,0,0.0,0
BIS,54514,0,0.0,0
BJC,165767,0,0.0,0
BJJ,0,0,0.0,0
BKE,0,0,0.0,0
BKL,38571,0,0.0,0
BKS,0,0,0.0,0
BKV,56191,0,0.0,0
BLH,0,0,0.0,0
BLI,68940,0,0.0,0
BLM,0,0,0.0,0
BMG,26402,0,0.0,0
BMI,24600,0,0.0,0
BML,0,0,0.0,0
BNA,205802,30,31.3,939
BOI,124917,9,29.2,263
BOS,405822,15405,65.5,1008977
BOW,0,0,0.0,0
BPT,21700,0,0.0,0
BQK,0,0,0.0,0
BQN,44599,1,29.0,29
BRD,0,0,0.0,0
BRO,32161,0,0.0,0
BRW,0,0,0.0,0
BTI,0,0,0.0,0
BTL,84048,0,0.0,0
BTM,0,0,0.0,0
BTR,53996,0,0.0,0
BTV,66150,5,24.2,121
BUF,87260,0,0.0,0
