the_geom,f_code,iko,ita,name,cartodb_id,zv3,created_at,updated_at,use,right_total
0101000020E6100000780DFAD2DBAE53C003098A1F63784540,GB005,KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,744,222,9/8/2014,9/8/2014,23,80172
0101000020E6100000404CC2853C3E5DC02C9E7AA4C1694040,GB005,KSEE,SEE,GILLESPIE FIELD AIRPORT,4,118,9/8/2014,9/8/2014,0,80964
0101000020E61000005B5CE333D91754C06072A3C85A7F3B40,GB005,KFPR,FPR,ST LUCIE COUNTY INTERNATIONAL AIRPORT,5,7,9/8/2014,9/8/2014,23,79662
0101000020E610000023A0C211A4835EC018778368ADFE4240,GB005,KCCR,CCR,BUCHANAN FIELD AIRPORT,8,8,9/8/2014,9/8/2014,0,53643
0101000020E6100000A435069D10A154C070B0373124694440,GB005,KMFD,MFD,MANSFIELD LAHM REGIONAL AIRPORT,47,395,9/8/2014,9/8/2014,0,12490
0101000020E610000032B08EE387FB53C0B95510035D2D4440,GB005,KAGC,AGC,ALLEGHENY COUNTY AIRPORT,67,382,9/8/2014,9/8/2014,0,49272
0101000020E6100000691B7FA2B21B54C02A70B20DDCA53940,GB005,KTMB,TMB,KENDALL-TAMIAMI EXECUTIVE AIRPORT,75,2,9/8/2014,9/8/2014,0,171948
0101000020E610000037A8FDD64E5554C035255987A38B3C40,GB005,KORL,ORL,EXECUTIVE AIRPORT,79,34,9/8/2014,9/8/2014,0,61315
0101000020E6100000BD8BF7E3F6915EC00ADAE4F0491B4340,GB005,KAPC,APC,NAPA COUNTY AIRPORT,80,11,9/8/2014,9/8/2014,0,33022
0101000020E61000007E33315D883558C08C9FC6BDF97B4040,GB005,KADS,ADS,ADDISON AIRPORT,82,196,9/8/2014,9/8/2014,0,95120
0101000020E61000000ADE904605925EC0D672672618F44740,GB005,KPAE,PAE,SNOHOMISH COUNTY (PAINE FIELD) AIRPORT,87,185,9/8/2014,9/8/2014,0,53864
0101000020E6100000D8F0F44A595D57C076C24B70EA694640,GB005,KFCM,FCM,FLYING CLOUD AIRPORT,89,276,9/8/2014,9/8/2014,0,51942
0101000020E61000002B8716D9CE8156C0CCB56801DA0A3E40,GB005,KNEW,NEW,LAKEFRONT AIRPORT,105,2,9/8/2014,9/8/2014,0,42336
0101000020E610000030B95164ADC052C03D0D18247D0A4440,GB005,KPNE,PNE,NORTHEAST PHILADELPHIA AIRPORT,111,37,9/8/2014,9/8/2014,0,40958
0101000020E610000039F1D58EE20F56C0D7A6B1BD16F44440,GB005,KDPA,DPA,DUPAGE AIRPORT,131,231,9/8/2014,9/8/2014,0,46996
0101000020E61000006552431B80475AC04C3448C153F44340,GB005,KBJC,BJC,ROCKY MOUNTAIN METROPOLITAN AIRPORT,132,1729,9/8/2014,9/8/2014,0,73113
0101000020E610000030F14751675458C088A06AF46A7E4040,GB005,KAFW,AFW,FORT WORTH ALLIANCE AIRPORT,149,220,9/8/2014,9/8/2014,0,62683
0101000020E61000008E739B70AFD355C0A587A1D5C9B94340,GB005,KHUF,HUF,TERRE HAUTE INTERNATIONAL-HULMAN FIELD,150,180,9/8/2014,9/8/2014,23,23373
0101000020E6100000CEE33098BF1A54C053B29C84D2A73B40,GB005,KVRB,VRB,VERO BEACH MUNICIPAL AIRPORT,154,7,9/8/2014,9/8/2014,4,103424
0101000020E610000069A85148325758C07AFD497CEE684040,GB005,KFTW,FTW,FORT WORTH MEACHAM INTERNATIONAL AIRPORT,164,216,9/8/2014,9/8/2014,23,81674
0101000020E6100000459F8F32E29C5DC04A99D4D006024140,GB005,KSMO,SMO,SANTA MONICA MUNICIPAL AIRPORT,171,54,9/8/2014,9/8/2014,4,59520
0101000020E61000007A8670CCB2F955C04221020EA10E4540,GB005,KPWK,PWK,CHICAGO EXECUTIVE AIRPORT,197,197,9/8/2014,9/8/2014,0,56341
0101000020E6100000FB928D075B365AC0800BB265F9C84340,GB005,KAPA,APA,CENTENNIAL AIRPORT,198,1794,9/8/2014,9/8/2014,0,172073
0101000020E6100000D7BAD408FD6053C0A4E36A64575C4340,GB005,KHEF,HEF,MANAVAL AIR STATIONSAS REGIONAL/HARRY P. DAVIS FIELD,200,59,9/8/2014,9/8/2014,8,46531
0101000020E61000009A5E622CD3E652C0B189CC5CE0D64340,GB005,KILG,ILG,NEW CASTLE AIRPORT,202,24,9/8/2014,9/8/2014,0,28852
0101000020E6100000643BDF4F8D9A52C05F07CE1951664440,GB005,KMMU,MMU,MORRISTOWN MUNICIPAL AIRPORT,209,57,9/8/2014,9/8/2014,4,50931
0101000020E61000002AFD84B35B9F5DC096404AECDA1A4140,GB005,KVNY,VNY,VAN NUYS AIRPORT,211,244,9/8/2014,9/8/2014,0,151518
0101000020E610000034F8FBC56CD45DC033C005D9B29A4740,GB005,KMWH,MWH,GRANT COUNTY INTERNATIONAL AIRPORT,215,362,9/8/2014,9/8/2014,23,31457
0101000020E6100000B2135E82531355C04882700514F04040,GB005,KPDK,PDK,DEKALB-PEACHTREE AIRPORT,239,306,9/8/2014,9/8/2014,0,117203
0101000020E610000084949F54FBE154C0A7E67283A11E4540,GB005,KYIP,YIP,WILLOW RUN AIRPORT,241,218,9/8/2014,9/8/2014,0,34063
0101000020E6100000B37C5D86FF8956C06A85E97B0D494340,GB005,KCPS,CPS,ST LOUIS DOWNTOWN AIRPORT,250,126,9/8/2014,9/8/2014,0,38101
0101000020E6100000DBBE47FDF5BB55C0E8F86871C6344440,GB005,KLAF,LAF,PURDUE UNIVERSITY AIRPORT,254,185,9/8/2014,9/8/2014,0,40734
0101000020E6100000B29DEFA7C6FD52C09CC420B072304440,GB005,KRDG,RDG,READING REGIONAL/CARL A SPAATZ FIELD,274,105,9/8/2014,9/8/2014,0,31126
0101000020E6100000D124B1A4DC4357C0728BF9B9A1774640,GB005,KSTP,STP,ST. PAUL DOWNTOWN AIRPORT / HOLMAN FIELD,295,215,9/8/2014,9/8/2014,0,30103
0101000020E6100000E8853B1746FA5BC0E204A6D3BACF4040,GB005,KSDL,SDL,SCOTTSDALE AIRPORT,299,460,9/8/2014,9/8/2014,0,108701
0101000020E6100000501C40BFEFA557C0C5707500C48F4340,GB005,KMKC,MKC,CHARLES B. WHEELER DOWNTOWN AIRPORT,301,231,9/8/2014,9/8/2014,0,59649
0101000020E610000047CA1649BBA956C033A9A10DC0544340,GB005,KSUS,SUS,SPIRIT OF ST LOUIS AIRPORT,315,141,9/8/2014,9/8/2014,0,62455
